"id","sensor","location","value1","value2","value3","reading_time"
"1","BME280","Home","27.11","76.38","1008.60","2023-01-30 16:00:47"
"2","BME280","Home","27.97","73.55","1008.54","2023-01-30 16:03:15"
"3","BME280","Home","28.55","71.08","1008.62","2023-01-30 16:05:38"
"4","BME280","Home","28.80","70.92","1008.67","2023-01-30 16:05:39"
"5","BME280","Home","28.65","71.01","1008.63","2023-01-30 16:06:12"
"6","BME280","Home","28.60","71.45","1008.67","2023-01-30 16:06:29"
"7","BME280","Home","29.07","69.45","1008.63","2023-01-30 16:08:59"
"8","BME280","Home","30.12","65.93","1008.80","2023-01-30 16:42:15"
"9","BME280","Home","27.45","74.63","1008.86","2023-01-30 16:50:22"
"10","BME280","Home","27.74","74.66","1008.90","2023-01-30 16:50:26"
"11","BME280","Home","28.07","75.77","1008.91","2023-01-30 16:51:01"
"12","BME280","Home","27.82","74.56","1008.89","2023-01-30 16:51:14"
"13","BME280","Home","28.07","74.39","1008.90","2023-01-30 16:51:15"
"14","BME280","Home","28.21","73.86","1008.89","2023-01-30 16:51:48"
"15","BME280","Home","28.68","70.17","1008.86","2023-01-30 16:56:02"
"16","BME280","Home","29.01","68.19","1009.21","2023-01-30 17:26:04"
"17","BME280","Home","28.59","70.68","1009.55","2023-01-30 17:56:04"
"18","BME280","Home","28.47","71.09","1009.93","2023-01-30 18:26:04"
"19","BME280","Home","28.38","73.61","1010.56","2023-01-30 18:56:05"
"20","BME280","Home","28.17","74.80","1010.81","2023-01-30 19:26:05"
"21","BME280","Home","28.20","75.13","1011.24","2023-01-30 19:56:06"
"22","BME280","Home","27.95","75.48","1011.38","2023-01-30 20:26:06"
"23","BME280","Home","28.05","75.31","1011.79","2023-01-30 20:56:07"
"24","BME280","Home","27.71","77.24","1011.94","2023-01-30 21:26:07"
"25","BME280","Home","27.76","75.61","1011.92","2023-01-30 21:56:08"
"26","BME280","Home","27.59","77.41","1011.64","2023-01-30 22:26:08"
"27","BME280","Home","27.24","77.94","1011.37","2023-01-30 22:56:09"
"28","BME280","Home","27.86","76.08","1011.25","2023-01-30 23:26:09"
"29","BME280","Home","27.38","78.25","1010.73","2023-01-30 23:56:10"
"30","BME280","Home","26.96","79.40","1010.43","2023-01-31 00:26:11"
"31","BME280","Home","27.26","78.95","1010.29","2023-01-31 00:56:11"
